Time - Sine,Amplitude - Sine
0,0
0.001,0.315663
0.002,0.605746
0.003,0.848329
0.004,1.0282
0.005,1.1388
0.006,1.18273
0.007,1.1708
0.008,1.1198
0.009,1.04943
0.01,0.978977
0.011,0.92418
0.012,0.89505
0.013,0.894787
0.014,0.920015
0.015,0.962205
0.016,1.00995
0.017,1.05162
0.018,1.07786
0.019,1.08342
0.02,1.0681
0.021,1.0365
0.022,0.996792
0.023,0.958781
0.024,0.931627
0.025,0.9218
0.026,0.931627
0.027,0.958781
0.028,0.996792
0.029,1.0365
0.03,1.0681
0.031,1.08342
0.032,1.07786
0.033,1.05162
0.034,1.00995
0.035,0.962205
0.036,0.920015
0.037,0.894787
0.038,0.89505
0.039,0.92418
0.04,0.978977
0.041,1.04943
0.042,1.1198
0.043,1.1708
0.044,1.18273
0.045,1.1388
0.046,1.0282
0.047,0.848329
0.048,0.605746
0.049,0.315663
0.05,4.53E-16
0.051,-0.315663
0.052,-0.605746
0.053,-0.848329
0.054,-1.0282
0.055,-1.1388
0.056,-1.18273
0.057,-1.1708
0.058,-1.1198
0.059,-1.04943
0.06,-0.978977
0.061,-0.92418
0.062,-0.89505
0.063,-0.894787
0.064,-0.920015
0.065,-0.962205
0.066,-1.00995
0.067,-1.05162
0.068,-1.07786
0.069,-1.08342
0.07,-1.0681
0.071,-1.0365
0.072,-0.996792
0.073,-0.958781
0.074,-0.931627
0.075,-0.9218
0.076,-0.931627
0.077,-0.958781
0.078,-0.996792
0.079,-1.0365
0.08,-1.0681
0.081,-1.08342
0.082,-1.07786
0.083,-1.05162
0.084,-1.00995
0.085,-0.962205
0.086,-0.920015
0.087,-0.894787
0.088,-0.89505
0.089,-0.92418
0.09,-0.978977
0.091,-1.04943
0.092,-1.1198
0.093,-1.1708
0.094,-1.18273
0.095,-1.1388
0.096,-1.0282
0.097,-0.848329
0.098,-0.605746
0.099,-0.315663
