Time - Sine,Amplitude - Sine
0,0
0.001,0.0799323
0.002,0.159549
0.003,0.238536
0.004,0.316582
0.005,0.393379
0.006,0.468623
0.007,0.542017
0.008,0.613272
0.009,0.682108
0.01,0.748251
0.011,0.811441
0.012,0.871428
0.013,0.927977
0.014,0.980863
0.015,1.02988
0.016,1.07483
0.017,1.11554
0.018,1.15184
0.019,1.18361
0.02,1.21069
0.021,1.23301
0.022,1.25045
0.023,1.26296
0.024,1.27049
0.025,1.273
0.026,1.27049
0.027,1.26296
0.028,1.25045
0.029,1.23301
0.03,1.21069
0.031,1.18361
0.032,1.15184
0.033,1.11554
0.034,1.07483
0.035,1.02988
0.036,0.980863
0.037,0.927977
0.038,0.871428
0.039,0.811441
0.04,0.748251
0.041,0.682108
0.042,0.613272
0.043,0.542017
0.044,0.468623
0.045,0.393379
0.046,0.316582
0.047,0.238536
0.048,0.159549
0.049,0.0799323
0.05,1.23E-16
0.051,-0.0799323
0.052,-0.159549
0.053,-0.238536
0.054,-0.316582
0.055,-0.393379
0.056,-0.468623
0.057,-0.542017
0.058,-0.613272
0.059,-0.682108
0.06,-0.748251
0.061,-0.811441
0.062,-0.871428
0.063,-0.927977
0.064,-0.980863
0.065,-1.02988
0.066,-1.07483
0.067,-1.11554
0.068,-1.15184
0.069,-1.18361
0.07,-1.21069
0.071,-1.23301
0.072,-1.25045
0.073,-1.26296
0.074,-1.27049
0.075,-1.273
0.076,-1.27049
0.077,-1.26296
0.078,-1.25045
0.079,-1.23301
0.08,-1.21069
0.081,-1.18361
0.082,-1.15184
0.083,-1.11554
0.084,-1.07483
0.085,-1.02988
0.086,-0.980863
0.087,-0.927977
0.088,-0.871428
0.089,-0.811441
0.09,-0.748251
0.091,-0.682108
0.092,-0.613272
0.093,-0.542017
0.094,-0.468623
0.095,-0.393379
0.096,-0.316582
0.097,-0.238536
0.098,-0.159549
0.099,-0.0799323
