Time - Square (Filtered),Amplitude - Square (Filtered)
0,0.086364
0.001,0.244175
0.002,0.374727
0.003,0.482729
0.004,0.572076
0.005,0.645991
0.006,0.707138
0.007,0.757724
0.008,0.799571
0.009,0.834191
0.01,0.862831
0.011,0.886524
0.012,0.906124
0.013,0.922339
0.014,0.935754
0.015,0.946851
0.016,0.956031
0.017,0.963626
0.018,0.969909
0.019,0.975106
0.02,0.979406
0.021,0.982963
0.022,0.985906
0.023,0.98834
0.024,0.990354
0.025,0.99202
0.026,0.993399
0.027,0.994539
0.028,0.995482
0.029,0.996263
0.03,0.996908
0.031,0.997442
0.032,0.997884
0.033,0.998249
0.034,0.998552
0.035,0.998802
0.036,0.999009
0.037,0.99918
0.038,0.999322
0.039,0.999439
0.04,0.999536
0.041,0.999616
0.042,0.999682
0.043,0.999737
0.044,0.999783
0.045,0.99982
0.046,0.999851
0.047,0.999877
0.048,0.999898
0.049,0.999916
0.05,0.99993
0.051,0.999942
0.052,0.999952
0.053,0.999961
0.054,0.999967
0.055,0.999973
0.056,0.999978
0.057,0.999982
0.058,0.999985
0.059,0.999987
0.06,0.99999
0.061,0.999991
0.062,0.999993
0.063,0.999994
0.064,0.999995
0.065,0.999996
0.066,0.999997
0.067,0.999997
0.068,0.999998
0.069,0.999998
0.07,0.999998
0.071,0.999999
0.072,0.999999
0.073,0.999999
0.074,0.999999
0.075,0.999999
0.076,0.999999
0.077,1
0.078,1
0.079,1
0.08,1
0.081,1
0.082,1
0.083,1
0.084,1
0.085,1
0.086,1
0.087,1
0.088,1
0.089,1
0.09,1
0.091,1
0.092,1
0.093,1
0.094,1
0.095,1
0.096,1
0.097,1
0.098,1
0.099,1
0.1,1
